,,,,,,Totals,,,,,,,,,,,,,,,,,Shooting,,,Advanced,,,,,,
Rk,Season,Lg,Age,Ht,Wt,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,Pace,eFG%,TOV%,ORB%,FT/FGA,ORtg,TS%
1,2024-25,NBA,26.3,06-Jul,215,67,32360,5189,11481,1681,4783,2376,3086,1496,4266,5762,3058,1027,658,1848,2735,14435,0.452,0.351,0.77,95,0.525,12.6,26,0.207,112.6,0.562
2,2023-24,NBA,26.4,06-Jul,216,82,39510,6399,13840,1922,5476,2601,3337,1656,5205,6861,3798,1051,785,2001,3127,17321,0.462,0.351,0.779,92.7,0.532,11.6,24.1,0.188,113.5,0.566
3,2022-23,NBA,26.1,06-Jun,216,84,40520,6750,14651,2023,5761,2888,3635,1734,5506,7240,3986,1145,802,2145,3289,18411,0.461,0.351,0.794,96.1,0.53,11.7,24,0.197,113.5,0.566
4,2021-22,NBA,26.1,06-Jun,215,87,41810,6639,14571,2135,6017,3083,3928,1630,5677,7307,3982,1234,793,2387,3733,18496,0.456,0.355,0.785,95.5,0.529,12.8,22.3,0.212,111.2,0.567
5,2020-21,NBA,26.1,06-Jun,217,85,41000,6829,14771,2122,5831,2974,3782,1686,5697,7383,3734,1135,748,2067,3483,18754,0.462,0.364,0.786,96.1,0.534,11.2,22.8,0.201,114.3,0.571
6,2019-20,NBA,26.1,06-Jun,218,83,40190,6447,14107,2170,6027,3123,3963,1462,5701,7163,3796,1168,707,2324,3611,18187,0.457,0.36,0.788,97.6,0.534,12.8,20.4,0.221,111.3,0.574
7,2018-19,NBA,26.3,06-Jun,219,82,39760,6312,14259,1862,5401,3177,4053,1674,5707,7381,3774,1161,799,2101,3638,17663,0.443,0.345,0.784,96.9,0.508,11.6,22.7,0.223,110,0.551
8,2017-18,NBA,26.4,06-Jul,220,82,39560,6294,13816,1723,4906,2818,3683,1507,5519,7026,3576,1198,791,2167,3401,17129,0.456,0.351,0.765,95.4,0.518,12.3,21.4,0.204,108.9,0.555
9,2016-17,NBA,26.6,06-Jul,221,79,38070,6086,13219,1660,4597,2923,3765,1534,5065,6599,3502,1193,740,2107,3282,16755,0.46,0.361,0.776,94.9,0.523,12.4,23.2,0.221,111.3,0.563
10,2015-16,NBA,26.7,06-Jul,222,86,41530,6286,14295,1571,4432,3027,4051,1802,5590,7392,3420,1259,853,2267,3624,17170,0.44,0.354,0.747,93,0.495,12.4,24.4,0.212,106.7,0.534
11,2014-15,NBA,26.7,06-Jul,223,81,39330,5964,13695,1424,4139,2937,4050,1785,5508,7293,3525,1230,868,2185,3544,16289,0.435,0.344,0.725,94.4,0.487,12.4,24.5,0.214,105.3,0.526
12,2013-14,NBA,26.5,06-Jul,223,89,43170,6472,14239,1426,3978,3349,4391,1823,5497,7320,3526,1261,775,2371,3917,17719,0.455,0.358,0.763,90.6,0.505,12.8,24.9,0.235,108.7,0.548
13,2012-13,NBA,26.7,06-Jul,223,85,41400,5953,13496,1205,3502,3069,4085,1781,5244,7025,3279,1198,822,2353,3773,16180,0.441,0.344,0.751,89.5,0.486,13.3,25.4,0.227,104.8,0.529
14,2011-12,NBA,26.6,06-Jul,223,84,40570,5801,13240,994,2983,2995,3974,1790,5190,6980,3087,1225,924,2256,3557,15591,0.438,0.333,0.754,89,0.476,13.1,25.6,0.226,103.6,0.52
15,2010-11,NBA,26.6,06-Jul,223,81,39280,5502,12541,989,2902,3238,4186,1774,4816,6590,2985,1141,874,2187,3481,15231,0.439,0.341,0.774,87.8,0.478,13.2,26.9,0.258,106,0.529
16,2009-10,NBA,26.6,06-Jul,222,82,39410,5778,12758,1089,3118,3346,4447,1737,4877,6614,3188,1093,814,2155,3820,15991,0.453,0.349,0.752,89.7,0.496,12.8,26.3,0.262,108.6,0.543
17,2008-09,NBA,26.6,06-Jul,221,85,41300,5932,13143,1168,3276,3403,4478,1684,5084,6768,3229,1203,809,2250,3861,16435,0.451,0.357,0.76,88.7,0.496,13,24.9,0.259,107.7,0.544
18,2007-08,NBA,26.8,06-Jul,220,86,41430,5933,13354,1055,3017,3394,4496,1905,5088,6993,3403,1129,844,2202,3897,16315,0.444,0.35,0.755,88,0.484,12.6,27.2,0.254,107.4,0.532
19,2006-07,NBA,26.6,06-Jul,219,79,38070,5410,12236,1012,2893,3058,4118,1755,4755,6510,3083,1119,700,2280,3503,14890,0.442,0.35,0.743,89.5,0.483,14,27,0.25,104.9,0.53
20,2005-06,NBA,26.5,06-Jul,220,89,43270,6322,13771,1071,3068,3692,4873,1845,5292,7137,3280,1132,759,2423,4269,17407,0.459,0.349,0.758,89.2,0.498,13.2,25.9,0.268,108.2,0.547
21,2004-05,NBA,26.9,06-Jul,220,84,40670,5957,13289,1031,2891,3365,4508,1990,4950,6940,3160,1144,925,2296,3941,16310,0.448,0.357,0.746,89.3,0.487,13.1,28.7,0.253,107.7,0.534
22,2003-04,NBA,27,06-Jul,220,82,39660,5309,12617,831,2564,2988,4134,1877,5081,6958,3218,1282,822,2448,3812,14437,0.421,0.324,0.723,88.4,0.454,14.5,27,0.237,98.8,0.5
23,2002-03,NBA,27.2,06-Jul,219,88,42740,6104,14005,1068,3006,3624,4760,2083,5391,7474,3558,1282,868,2529,4280,16900,0.436,0.355,0.761,90.3,0.474,13.6,27.9,0.259,105.1,0.525
24,2001-02,NBA,27.4,06-Jul,218,71,34380,4887,11345,793,2361,2814,3790,1682,4435,6117,2793,1059,745,1998,3374,13381,0.431,0.336,0.742,90.5,0.466,13.3,27.5,0.248,103.3,0.514
25,2000-01,NBA,27.7,06-Jul,216,71,34180,4883,11394,751,2105,2776,3665,1794,4337,6131,2867,1032,785,1893,3216,13293,0.429,0.357,0.757,89.3,0.462,12.7,29.3,0.244,104.6,0.511
26,1999-00,NBA,27.8,06-Jul,216,75,36150,5041,11570,775,2203,2919,3959,1668,4509,6177,2951,1022,729,1951,3636,13776,0.436,0.352,0.737,87.8,0.469,12.8,27,0.252,104.2,0.517
27,1998-99,NBA,27.9,06-Jul,215,66,31830,4193,9857,580,1812,2600,3494,1504,3793,5297,2467,1028,611,1827,3212,11566,0.425,0.32,0.744,85.7,0.455,13.8,28.4,0.264,101.8,0.508
28,1997-98,NBA,27.7,06-Jul,214,71,34280,4737,10550,683,1983,2798,3858,1613,3968,5581,2879,1066,663,1974,3456,12955,0.449,0.344,0.725,85.9,0.481,13.9,28.9,0.265,105.6,0.529
29,1996-97,NBA,27.7,06-Jul,213,72,34710,4825,10950,962,2770,2927,3861,1704,4112,5816,2875,1065,663,2035,3365,13539,0.441,0.347,0.758,87.2,0.485,13.9,29.3,0.267,107.4,0.535
30,1995-96,NBA,27.5,06-Jul,213,68,32890,4667,10268,840,2379,2574,3602,1621,3724,5345,2871,1047,592,2050,3198,12748,0.455,0.353,0.715,87.1,0.495,14.7,30.3,0.251,106.8,0.538
31,1994-95,NBA,27.2,06-Jul,212,73,35340,5185,11260,969,2587,3153,4284,1760,4090,5850,3249,1035,714,2092,3700,14492,0.46,0.375,0.736,89,0.504,13.7,30.1,0.28,110.5,0.551
32,1993-94,NBA,27.2,06-Jul,211,77,37360,5342,12155,652,1914,3140,4247,2071,4371,6442,3348,1199,852,2280,3687,14476,0.439,0.341,0.739,88.6,0.466,14,32.1,0.258,105,0.516
33,1992-93,NBA,27.1,06-Jul,211,76,37080,5837,12545,523,1475,2930,3948,2063,4261,6324,3564,1231,874,2241,3502,15127,0.465,0.355,0.742,90.8,0.486,13.6,32.6,0.234,107.9,0.53
34,1991-92,NBA,27.2,06-Jul,209,73,35440,5665,11929,407,1207,3338,4343,1929,3953,5882,3490,1117,760,2069,3530,15075,0.475,0.337,0.769,91.7,0.492,13,32.8,0.28,111.4,0.545
35,1990-91,NBA,27.2,06-Jul,209,68,32840,5298,11145,376,1165,3193,4091,1695,3847,5542,3152,1024,586,1900,3298,14165,0.475,0.323,0.78,93.3,0.492,12.8,30.6,0.286,110.9,0.547
36,1989-90,NBA,27.1,06-Jul,208,72,34760,5740,12094,370,1170,3345,4397,1914,4130,6044,3468,1117,713,2188,3579,15195,0.475,0.316,0.761,95.9,0.49,13.5,31.7,0.277,109.4,0.542
37,1988-89,NBA,26.9,06-Jul,208,62,30010,4889,10432,377,1201,2848,3685,1712,3595,5307,2984,908,604,1809,3073,13003,0.469,0.314,0.773,94.4,0.487,13,32.3,0.273,110.2,0.539
38,1987-88,NBA,26.9,06-Jul,209,80,38600,6438,13482,289,921,3526,4539,2208,4494,6702,3903,1152,775,2305,3792,16691,0.478,0.314,0.777,94,0.488,13,32.9,0.262,110.4,0.539
39,1986-87,NBA,26.6,06-Jul,209,71,34430,5956,12285,239,778,3527,4561,1969,4064,6033,3593,1056,770,2091,3655,15678,0.485,0.307,0.773,97.5,0.495,12.8,32.6,0.287,112.1,0.548
40,1985-86,NBA,26.8,06-Jul,208,68,32990,5889,12037,189,593,3090,4128,1968,3925,5893,3574,1111,755,2122,3394,15057,0.489,0.319,0.749,99,0.497,13.3,33.4,0.257,110.6,0.543
41,1984-85,NBA,26.4,06-Jul,207,68,32840,6039,12299,154,564,3366,4361,1992,4021,6013,3647,1220,740,2337,3604,15598,0.491,0.273,0.772,103.5,0.497,14.1,33.1,0.274,110.1,0.549
42,1983-84,NBA,26.4,06-Jul,206,79,38320,6554,13605,154,552,3742,4880,2230,4497,6727,3842,1224,810,2582,4215,17004,0.482,0.279,0.767,97.9,0.487,14.1,33.1,0.275,108.7,0.54
43,1982-83,NBA,26.1,06-Jul,205,43,20840,3727,7763,58,230,1724,2309,1272,2610,3882,2331,684,517,1435,2108,9236,0.48,0.252,0.747,100.3,0.484,14,32.8,0.222,106.1,0.526
44,1981-82,NBA,26.2,06-Jul,205,47,22760,3945,8343,51,213,1978,2665,1470,2689,4159,2443,775,615,1583,2462,9919,0.473,0.239,0.742,98.4,0.476,14.3,35.3,0.237,106.3,0.521
45,1980-81,NBA,26.2,06-Jul,205,53,25590,4202,8945,50,227,2179,2936,1513,2995,4508,2451,867,608,1735,2578,10633,0.47,0.22,0.742,95.2,0.473,14.5,33.6,0.244,104.7,0.519
46,1979-80,NBA,26.4,06-Jun,204,48,23240,3980,8455,90,352,1928,2519,1400,2819,4219,2445,843,531,1654,2337,9978,0.471,0.256,0.765,98.4,0.476,14.7,33.2,0.228,104.7,0.522
47,1978-79,NBA,26.3,06-Jun,203,53,25640,4440,9705,,,2220,3019,1707,3240,4947,2539,879,636,1860,2770,11100,0.457,,0.735,101.4,0.457,14.4,34.5,0.229,102.5,0.503
48,1977-78,NBA,26.2,06-Jun,204,51,24630,4377,9470,,,2162,2942,1608,3193,4801,2445,800,568,1779,2675,10916,0.462,,0.735,103.3,0.462,14.2,33.5,0.228,103,0.507
49,1976-77,NBA,26.2,06-Jun,204,53,25540,4493,9609,,,2187,2987,1548,3381,4929,2564,949,549,2091,2722,11173,0.468,,0.732,105,0.468,16.1,31.4,0.228,100,0.511
50,1975-76,NBA,26.5,06-Jun,204,50,24400,4116,8932,,,2126,2812,1399,3139,4538,2246,786,504,1937,2678,10358,0.461,,0.756,102.3,0.461,16,30.8,0.238,99.5,0.509
51,1974-75,NBA,26.7,06-Jun,203,47,22610,3800,8335,,,1847,2459,1263,3064,4327,2063,818,432,1753,2340,9447,0.456,,0.751,102.5,0.456,15.7,29.2,0.222,97.8,0.502
52,1973-74,NBA,26.9,06-Jun,205,41,19880,3343,7416,,,1361,1753,1113,2698,3811,1812,527,298,1441,1864,8047,0.451,,0.776,100,0.451,15,29.2,0.184,97.1,0.491
53,1972-73,NBA,26.7,06-Jun,205,41,19830,3478,7707,,,1449,1958,,,4047,1868,,,,1905,8405,0.451,,0.74,,0.451,,,0.188,,0.49
54,1971-72,NBA,26.6,06-Jun,206,37,17860,3102,6959,,,1703,2235,,,3750,1641,,,,1708,7907,0.446,,0.762,,0.446,,,0.245,,0.498
55,1970-71,NBA,26.6,06-Jun,205,40,19200,3306,7433,,,1669,2315,,,4108,1715,,,,1847,8281,0.445,,0.721,,0.445,,,0.225,,0.49
56,1969-70,NBA,26.8,06-Jun,205,40,19450,3599,7906,,,1730,2396,,,4270,1967,,,,1848,8928,0.455,,0.722,,0.455,,,0.219,,0.498
57,1968-69,NBA,26.9,06-Jun,207,39,18720,3171,7354,,,1809,2603,,,4381,1655,,,,1991,8151,0.431,,0.695,,0.431,,,0.246,,0.48
58,1967-68,NBA,26.8,06-Jun,206,40,19350,3461,7760,,,2040,2914,,,5210,1731,,,,2108,8962,0.446,,0.7,,0.446,,,0.263,,0.496
59,1966-67,NBA,26.6,06-Jun,206,31,14930,2782,6555,,,1616,2249,,,4406,1465,,,,1634,7180,0.424,,0.719,,0.424,,,0.247,,0.476
60,1965-66,NBA,26.6,06-Jun,207,27,13060,2324,5283,,,1488,1990,,,3381,1159,,,,1466,6136,0.44,,0.748,,0.44,,,0.282,,0.498
61,1964-65,NBA,26.4,06-Jun,208,26,12580,2246,5232,,,1422,1901,,,3466,1123,,,,1429,5914,0.429,,0.748,,0.429,,,0.272,,0.487
62,1963-64,NBA,26.4,06-Jun,207,27,12960,2167,5161,,,1381,1929,,,3424,1178,,,,1473,5715,0.42,,0.716,,0.42,,,0.268,,0.475
63,1962-63,NBA,26.3,06-Jun,205,29,13970,2498,5750,,,1696,2242,,,3798,1257,,,,1660,6692,0.434,,0.756,,0.434,,,0.295,,0.497
64,1961-62,NBA,26.4,06-May,205,29,13970,2459,5990,,,1612,2156,,,3967,1304,,,,1571,6530,0.411,,0.748,,0.411,,,0.269,,0.471
65,1960-61,NBA,26.4,06-May,205,25,12050,2148,5325,,,1459,1982,,,3653,1177,,,,1433,5755,0.403,,0.736,,0.403,,,0.274,,0.464
66,1959-60,NBA,26.5,06-May,204,25,12050,2104,5237,,,1246,1708,,,3583,1162,,,,1259,5454,0.402,,0.73,,0.402,,,0.238,,0.455
67,1958-59,NBA,26.4,06-May,202,22,10610,1844,4629,,,1322,1689,,,3111,957,,,,1243,5010,0.398,,0.783,,0.398,,,0.286,,0.466
68,1957-58,NBA,26.8,06-May,202,21,10080,1554,4218,,,1218,1638,,,3066,777,,,,1093,4326,0.368,,0.744,,0.368,,,0.289,,0.438
69,1956-57,NBA,26.2,06-May,201,17,8460,1341,3567,,,1041,1437,,,2293,747,,,,966,3723,0.376,,0.724,,0.376,,,0.292,,0.443
70,1955-56,NBA,26.3,06-May,200,21,10080,1456,3813,,,1285,1756,,,2542,958,,,,1152,4197,0.382,,0.732,,0.382,,,0.337,,0.458
71,1954-55,NBA,26.7,06-May,197,21,10230,1404,3688,,,1286,1701,,,2349,1001,,,,1178,4094,0.381,,0.756,,0.381,,,0.349,,0.461
72,1953-54,NBA,26.4,06-Apr,197,23,11090,1236,3179,,,1254,1748,,,2194,811,,,,1367,3726,0.389,,0.717,,0.389,,,0.394,,0.472
73,1952-53,NBA,26.4,06-Apr,196,23,11240,1207,3296,,,1339,1847,,,2351,844,,,,1505,3753,0.366,,0.725,,0.366,,,0.406,,0.457
74,1951-52,NBA,26.3,06-Apr,195,25,12250,1435,3653,,,1433,1924,,,2505,978,,,,1560,4303,0.393,,0.745,,0.393,,,0.392,,0.478
75,1950-51,NBA,,,,26,,1532,4079,,,1258,1741,,,2682,1148,,,,1487,4322,0.376,,0.723,,0.376,,,0.308,,0.446
76,1949-50,NBA,,,,30,,1614,4697,,,1609,2199,,,,1065,,,,1815,4837,0.344,,0.732,,0.344,,,0.343,,0.427
77,1948-49,BAA,,,,20,,1071,3260,,,998,1391,,,,623,,,,1156,3140,0.329,,0.717,,0.329,,,0.306,,0.405
78,1947-48,BAA,,,,21,,1046,3841,,,938,1338,,,,254,,,,1080,3030,0.272,,0.701,,0.272,,,0.244,,0.342
79,1946-47,BAA,,,,19,,998,3766,,,687,1002,,,,172,,,,833,2683,0.265,,0.686,,0.265,,,0.182,,0.319
