"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x1944879210","x1378534451697754113",2021-04-04 02:26:39,"jamaalaldin_tv","DRAYMAGIC<U+0001F52E> Chili' NBA Defensive GOAT?! The Brooklyn Nets will not win the East without Kevin Durant - Jalen Rose | Jalen &amp; Jacoby https://t.co/woG1sd2Ube https://t.co/MzqM4JCjrP https://t.co/eaQRVwENNX","dlvr.it",205,,,,FALSE,FALSE,0,0,,,,,"youtube.com/watch?v=E1B6IL… kia.com/us/en subway.com","https://t.co/woG1sd2Ube https://t.co/MzqM4JCjrP https://t.co/eaQRVwENNX","https://www.youtube.com/watch?v=E1B6ILyxZTk&utm_source=dlvr.it&utm_medium=twitter http://kia.com/us/en http://subway.com",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/jamaalaldin_tv/status/1378534451697754113","Jamaal Al-Din (NBA NFL MLB NHL #COVID19)","Boise, ID","Jamaal Al-Din's Hoops 227 (227's™ YouTube Chili' #NBA ) https://t.co/AT4RNeBzp9 https://t.co/BOjwJqMUod https://t.co/pfNag7l7nb https://t.co/xWDMDRNDeo https://t.co/bg6HbrA2cG","https://t.co/cflGnjw4pa",FALSE,10077,1107,10,238610,1847,2013-10-07 18:38:03,FALSE,"https://t.co/cflGnjw4pa","http://www.hoops227.tv",,"https://pbs.twimg.com/profile_banners/1944879210/1457895288","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/378800000563674339/4c53a23721a8b3c4b9c130175694cebd_normal.jpeg"
"x1944879210","x1376950621702512643",2021-03-30 17:33:05,"jamaalaldin_tv","Kevin Chili' Durant NBA Leader: 29.0 PPG Jay Williams claims if LeBron James beats the Nets in the NBA Finals, the GOAT conversation is over: Jay Williams claims if LeBron James beats the Nets in the NBA… https://t.co/B0I5UR9mZD https://t.co/MzqM4JCjrP https://t.co/KqTM8V4OZ9","dlvr.it",276,,,,FALSE,FALSE,0,1,,,,,"youtube.com/watch?v=lqGDeT… kia.com/us/en rebrand.ly/luitif0","https://t.co/B0I5UR9mZD https://t.co/MzqM4JCjrP https://t.co/KqTM8V4OZ9","https://www.youtube.com/watch?v=lqGDeTPuSrY&utm_source=dlvr.it&utm_medium=twitter http://kia.com/us/en http://rebrand.ly/luitif0",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/jamaalaldin_tv/status/1376950621702512643","Jamaal Al-Din (NBA NFL MLB NHL #COVID19)","Boise, ID","Jamaal Al-Din's Hoops 227 (227's™ YouTube Chili' #NBA ) https://t.co/AT4RNeBzp9 https://t.co/BOjwJqMUod https://t.co/pfNag7l7nb https://t.co/xWDMDRNDeo https://t.co/bg6HbrA2cG","https://t.co/cflGnjw4pa",FALSE,10077,1107,10,238610,1847,2013-10-07 18:38:03,FALSE,"https://t.co/cflGnjw4pa","http://www.hoops227.tv",,"https://pbs.twimg.com/profile_banners/1944879210/1457895288","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/378800000563674339/4c53a23721a8b3c4b9c130175694cebd_normal.jpeg"
"x1365258442412228617","x1378276906882101253",2021-04-03 09:23:16,"chuckguarantees","@phxllymxkan Yep, minimal competition in both conferences, Kevin durant simply ruined the sport for fans outside of the Bay Area. Shit was depressing man they went perfect in the west and even the goat could only take 1 game off them","Twitter for iPhone",220,"x1378275904099655680","x499433527","phxllymxkan",FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x499433527","phxllymxkan","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/chuckguarantees/status/1378276906882101253","Charles Barkley’s Burner","","Like I say, Krispy Kreme the best dessert in the world",,FALSE,129,329,1,1837,4631,2021-02-26 11:13:01,FALSE,,,,"https://pbs.twimg.com/profile_banners/1365258442412228617/1614860952",,"http://pbs.twimg.com/profile_images/1368017979867160578/Kirzi8bj_normal.jpg"
"x1352091147225755648","x1378140811322400769",2021-04-03 00:22:28,"HassanHyuga","@ShootDesignz @KingJames At it of the end of the day lebron is the goat but i dont think he can defend kevin durant jamez harden and kyrie irving in that challenge","Twitter Web App",138,"x1377653862216183813","x927035101460025344","ShootDesignz",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x927035101460025344 x23083404","ShootDesignz KingJames","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/HassanHyuga/status/1378140811322400769","Hassan Hyuga","New York, NY","fun sarcastic loyal die for whats mine or who i care for",,FALSE,2,32,0,15,5,2021-01-21 03:10:37,FALSE,,,,"https://pbs.twimg.com/profile_banners/1352091147225755648/1611343096",,"http://pbs.twimg.com/profile_images/1352091337546457090/yJfFNAxO_normal.jpg"
"x305360481","x1378103011503931401",2021-04-02 21:52:16,"jay_melendez02","Kevin Durant the new GOAT after those messages","Twitter for iPhone",46,,,,FALSE,FALSE,2,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/jay_melendez02/status/1378103011503931401","JeremyMELENDEZ","Chicago, Illinois","#GETREAL. Est. 93",,FALSE,221,424,0,4139,3704,2011-05-26 02:34:19,FALSE,,,,"https://pbs.twimg.com/profile_banners/305360481/1411620832","http://abs.twimg.com/images/themes/theme9/bg.gif","http://pbs.twimg.com/profile_images/1337157828658728963/5so_5-Zc_normal.jpg"
"x1011379494106607617","x1378008402215993348",2021-04-02 15:36:19,"BubeIyke","Basketball team I love- Boston Celtics 
Basketball team I like - Brooklyn Nets
Basketball team I dislike- Cleveland Cavs 
Basketball team I hate- Non
Hooper I love- Kevin Durant 
Hooper I like -  Kawhi 
Hooper I dislike- T. Thompson 
Hooper I hate- Non
GOAT- Kobe

What's yours?","Twitter for iPhone",278,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/BubeIyke/status/1378008402215993348","Ezenwazuruahu III N’Izuogu","","What I don’t have I don’t need, what I don’t need I don’t have. Civil engineer by day. #COYG #BrooklynTogether #Ravens",,FALSE,243,344,2,6838,11455,2018-06-25 22:43:56,FALSE,,,,"https://pbs.twimg.com/profile_banners/1011379494106607617/1612818303",,"http://pbs.twimg.com/profile_images/1359227347732471820/kB51SucH_normal.jpg"
"x889514421969715206","x1377802518856536065",2021-04-02 01:58:13,"NBAPaint1","I really have no clue what the Nets ceiling is. They have 2 dynamic superstars in their prime, some of the best roles players, and Kevin Durant. 

It’s almost as if anyone beats them, they’re the GOAT.","Twitter for iPhone",201,,,,FALSE,FALSE,20,1,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NBAPaint1/status/1377802518856536065","NBA/Paint <U+0001F3A8>","Los Angeles, CA","",,FALSE,4966,1274,43,38919,52064,2017-07-24 15:55:39,FALSE,,,,"https://pbs.twimg.com/profile_banners/889514421969715206/1598499262",,"http://pbs.twimg.com/profile_images/1295241875318689793/8prvL2hb_normal.jpg"
"x1283475195915718656","x1377715075344044034",2021-04-01 20:10:45,"YTCasualTryHard","@AlessiaStepback I love LeBron he’s a goat but he does not have better handles than KD. Am I saying KD is better, no I am not. But Kevin Durant is a better ball handler than LeBron in my opinion","Twitter for iPhone",177,"x1377700178434621446","x1370585613498482691","AlessiaStepback",FALSE,FALSE,89,1,,,,,,,,,,,,,,,,"x1370585613498482691","AlessiaStepback","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/YTCasualTryHard/status/1377715075344044034","Tory Winsor","","Miami Heat Fan <U+0001F53A><U+25FE><U+FE0F><U+0001F525>LeBron and Michael Jordan are both goats quit hating!!!           Attempt to have funny replies to stuff so if you laughed at one follow me",,FALSE,40,214,0,447,0,2020-07-15 18:55:23,FALSE,,,,"https://pbs.twimg.com/profile_banners/1283475195915718656/1617474984",,"http://pbs.twimg.com/profile_images/1376897638662987779/cVJckWzR_normal.jpg"
"x1314289994060759047","x1377667888346234882",2021-04-01 17:03:15,"LovingCurry","GOAT, Kevin Durant and Steph Curry https://t.co/X5eZ9kvtQ8","Twitter for iPhone",34,,,,FALSE,FALSE,21,1,,,,,,,,"http://pbs.twimg.com/media/Ex51pDBWEA4B6AG.jpg","https://t.co/X5eZ9kvtQ8","https://twitter.com/LovingCurry/status/1377667888346234882/photo/1","photo","http://pbs.twimg.com/media/Ex51pDBWEA4B6AG.jpg","https://t.co/X5eZ9kvtQ8","https://twitter.com/LovingCurry/status/1377667888346234882/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/LovingCurry/status/1377667888346234882","S. <U+0001FA81> (23-26)","","3<U+FE0F><U+20E3>0<U+FE0F><U+20E3> // 1<U+FE0F><U+20E3>1<U+FE0F><U+20E3> // 2<U+FE0F><U+20E3>3<U+FE0F><U+20E3> #dubnation #ChangedHowTheGameIsPlayedByHimselfAlone",,FALSE,645,795,0,2822,12252,2020-10-08 19:42:21,FALSE,,,,"https://pbs.twimg.com/profile_banners/1314289994060759047/1615976869",,"http://pbs.twimg.com/profile_images/1377517040156696578/Q-EJKEgc_normal.jpg"
"x237093219","x1377610523336933378",2021-04-01 13:15:18,"SuperSportPapi","Kevin Durant Always Bitching About Somebody Or Something. 

Not My Goat, Not My Problem.","Twitter for iPhone",88,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SuperSportPapi/status/1377610523336933378","<U+0001F3C1>","","Less Nipsey, More Hov",,FALSE,1099,558,19,154313,14409,2011-01-12 02:13:11,FALSE,,,,"https://pbs.twimg.com/profile_banners/237093219/1614192727","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1250043328739016710/aSpLL4_K_normal.jpg"
