"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x972321533464055808","x1378532233129177088",2021-04-04 02:17:50,"Evilese112","@CrypticNoHoes “Lebron james even in a movie had to make a super team.. couldnt beat the MonStars on his own, thats why MJ is the goat and lebron isnt even close”","Twitter for iPhone",147,"x1378381664687099910","x1357094550033039361","CrypticNoHoes",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x1357094550033039361","CrypticNoHoes","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Evilese112/status/1378532233129177088","Evilese","","Heyo my name is evilese, i make smite youtube videos currently!","https://t.co/HBrnCt9HzT",FALSE,156,589,3,10293,23177,2018-03-10 04:01:33,FALSE,"https://t.co/HBrnCt9HzT","https://www.youtube.com/user/Nick11778",,"https://pbs.twimg.com/profile_banners/972321533464055808/1599783891","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1314983507937185794/4NBSKxi6_normal.jpg"
"x1047453044051521536","x1378522795429224451",2021-04-04 01:40:20,"KhaleelMJ23","@redalien_1 @Digested_Sand Imagine thinking a movie w Lebron GOAT James is soy","Twitter for iPhone",51,"x1378511281880195077","x1287389412607823873","redalien_1",FALSE,FALSE,3,0,,,,,,,,,,,,,,,,"x1287389412607823873 x1193018132664860672","redalien_1 Digested_Sand","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/KhaleelMJ23/status/1378522795429224451","Khaleel","Florida, USA","Angela was the GOAT",,FALSE,72,132,1,5347,5556,2018-10-03 11:47:21,FALSE,,,,"https://pbs.twimg.com/profile_banners/1047453044051521536/1538567784",,"http://pbs.twimg.com/profile_images/1047455318769324033/f3lOwNRa_normal.jpg"
"x210310359","x1378519098049581056",2021-04-04 01:25:39,"lee_radders","Just watching the best of Lebron James. Amazing ability, can defend, assist &amp; score. Arguably the GOAT.
In that context, it’s arguable Rooney is the GOAT too, neither Messi or Ronaldo (nor Maradona etc.) can be trusted to defend. Rooney could play any position &amp; excel IMO #mufc","Twitter for iPhone",286,,,,FALSE,FALSE,0,0,,,"mufc",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/lee_radders/status/1378519098049581056","Lee","","Aspiring comedian",,FALSE,288,1474,4,5095,3494,2010-10-31 03:35:30,FALSE,,,,"https://pbs.twimg.com/profile_banners/210310359/1504989721","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/873980617565908992/XVbgi1G7_normal.jpg"
"x217856135","x1378517429513560071",2021-04-04 01:19:01,"joeyaiellohsv","When we talk about who is the GOAT between Michael Jordan and LeBron James, how heavy do we factor in who had the best Space Jam movie?","Twitter for iPhone",135,,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/joeyaiellohsv/status/1378517429513560071","Joey Aiello","Huntsville, Alabama","Attorney with a plaintiff's personal injury practice, avid Alabama Crimson Tide fan, Christian and news & political junkie. The views here are mine alone.","https://t.co/M9Iv5FEFxu",FALSE,628,2085,10,2322,19406,2010-11-20 18:42:14,FALSE,"https://t.co/M9Iv5FEFxu","https://www.mkhlawyers.com/our-firm/about-us/joey-aiello/",,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1171792605/DSC06235-3_normal.JPG"
"x2451965563","x1378512599331958786",2021-04-04 00:59:49,"SuperGainsBros","As much as I love LeBron James, gotta say it hurts his Goat conversation when he needs Superman, Gandalf, King Kong, and the Iron Giant to win a basketball game. Cmon man, all Jordan needed was Bill Murray. https://t.co/Pn41AUgs6z","Twitter for Android",206,,,,FALSE,FALSE,6,2,,,,,,,,"http://pbs.twimg.com/tweet_video_thumb/EyF15WTW8AcEO7l.jpg","https://t.co/Pn41AUgs6z","https://twitter.com/SuperGainsBros/status/1378512599331958786/photo/1","photo","http://pbs.twimg.com/tweet_video_thumb/EyF15WTW8AcEO7l.jpg","https://t.co/Pn41AUgs6z","https://twitter.com/SuperGainsBros/status/1378512599331958786/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SuperGainsBros/status/1378512599331958786","SuperGainsBros","Portland, OR","Podcast host on:
The Matt and Ez Show, 
BoxTrick, 
Bend the Knee, 
Heroes of the Horn, 
Hyperspace Hangout, 
Twitch Affiliate: https://t.co/gBhaRNhRiT","https://t.co/qEv0ANZBpG",FALSE,358,348,5,5180,29698,2014-04-18 21:32:10,FALSE,"https://t.co/qEv0ANZBpG","https://www.instagram.com/supergainsbros/",,"https://pbs.twimg.com/profile_banners/2451965563/1613093663","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1261475293107089408/5d7A69nv_normal.jpg"
"x1350199759068401668","x1378510890232901637",2021-04-04 00:53:02,"jjf31624","@JohnLynchWTRF Nothing would because that Goat wanna be steaming pile of dump LeBron James is starring in it!!!!<U+0001F621><U+0001F621><U+0001F621><U+0001F621><U+0001F621><U+0001F621><U+0001F621><U+0001F621><U+0001F620><U+0001F620><U+0001F620><U+0001F620><U+0001F620><U+0001F620><U+0001F620><U+0001F620><U+0001F4A9><U+0001F4A9><U+0001F4A9><U+0001F4A9><U+0001F4A9><U+0001F4A9><U+0001F4A9><U+0001F4A9><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E>","Twitter for Android",130,"x1378343881608138753","x1144384770668994563","JohnLynchWTRF",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x1144384770668994563","JohnLynchWTRF","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/jjf31624/status/1378510890232901637","JJF31624","Iowa, USA","I like watching 49ers NFL football, and Cubs MLB baseball, and Bulls NBA basketball, and Blackhawks NHL hockey too.  And Iowa Hawkeyes too.",,FALSE,243,1182,1,12585,15879,2021-01-15 21:55:08,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1353751265738686466/8veAwSzO_normal.jpg"
"x1350199759068401668","x1378381242685661188",2021-04-03 16:17:51,"jjf31624","@WhoisDuragQ @ricanjq It sucks because that Goat wanna be loser LeBron James is in it!!!!<U+0001F621><U+0001F621><U+0001F621><U+0001F621><U+0001F621><U+0001F621><U+0001F621><U+0001F621><U+0001F620><U+0001F620><U+0001F620><U+0001F620><U+0001F620><U+0001F620><U+0001F620><U+0001F620><U+0001F4A9><U+0001F4A9><U+0001F4A9><U+0001F4A9><U+0001F4A9><U+0001F4A9><U+0001F4A9><U+0001F4A9><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E>","Twitter for Android",99,"x1378362851010752514","x1279503338","WhoisDuragQ",FALSE,FALSE,1,1,,,,,,,,,,,,,,,,"x1279503338 x816105179481313281","WhoisDuragQ ricanjq","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/jjf31624/status/1378381242685661188","JJF31624","Iowa, USA","I like watching 49ers NFL football, and Cubs MLB baseball, and Bulls NBA basketball, and Blackhawks NHL hockey too.  And Iowa Hawkeyes too.",,FALSE,243,1182,1,12585,15879,2021-01-15 21:55:08,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1353751265738686466/8veAwSzO_normal.jpg"
"x1350199759068401668","x1378384647567122433",2021-04-03 16:31:23,"jjf31624","@NBCSBulls Well to me it looks like a dumpster fire!!!!  Because that wanna be Goat Piece Of Steaming Pile Of Dump LeBron James is in it!!!!<U+0001F621><U+0001F621><U+0001F621><U+0001F621><U+0001F621><U+0001F621><U+0001F621><U+0001F621><U+0001F620><U+0001F620><U+0001F620><U+0001F620><U+0001F620><U+0001F620><U+0001F620><U+0001F620><U+0001F4A9><U+0001F4A9><U+0001F4A9><U+0001F4A9><U+0001F4A9><U+0001F4A9><U+0001F4A9><U+0001F4A9><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E>","Twitter for Android",161,"x1378380671228514313","x423540866","NBCSBulls",FALSE,FALSE,2,0,,,,,,,,,,,,,,,,"x423540866","NBCSBulls","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/jjf31624/status/1378384647567122433","JJF31624","Iowa, USA","I like watching 49ers NFL football, and Cubs MLB baseball, and Bulls NBA basketball, and Blackhawks NHL hockey too.  And Iowa Hawkeyes too.",,FALSE,243,1182,1,12585,15879,2021-01-15 21:55:08,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1353751265738686466/8veAwSzO_normal.jpg"
"x1350199759068401668","x1375997163008884739",2021-03-28 02:24:23,"jjf31624","@LosPollosTV No it isn't LeBron James will never ever be the Goat know matter what he does in his career!!!!<U+0001F621><U+0001F621><U+0001F621><U+0001F621><U+0001F620><U+0001F620><U+0001F620><U+0001F620><U+0001F4A9><U+0001F4A9><U+0001F4A9><U+0001F4A9><U+0001F4A9><U+0001F4A9><U+0001F4A9><U+0001F4A9><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E>","Twitter for Android",119,"x1375946029493858307","x2464343990","LosPollosTV",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x2464343990","LosPollosTV","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/jjf31624/status/1375997163008884739","JJF31624","Iowa, USA","I like watching 49ers NFL football, and Cubs MLB baseball, and Bulls NBA basketball, and Blackhawks NHL hockey too.  And Iowa Hawkeyes too.",,FALSE,243,1182,1,12585,15879,2021-01-15 21:55:08,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1353751265738686466/8veAwSzO_normal.jpg"
"x1303945323308613632","x1378490131527647232",2021-04-03 23:30:33,"MMAnewsAfrica2","Jones was out here telling people that Dana doesn’t like him a few days ago, but Dana was willing to campaign to have his only loss overturned and often called him the goat and the Lebron James of MMA, If anything I think Dana likes him too much!","Twitter for iPhone",246,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MMAnewsAfrica2/status/1378490131527647232","MMA News Africa","","Let's talk MMA #AresFighting #UFC #EFC #Bellator #ACA #OneChampionship Burkina Faso 226 <U+0001F44A><U+0001F3FE><U+0001F1E7><U+0001F1EB> Living between <U+0001F1EB><U+0001F1F7><U+0001F1E8><U+0001F1E6>",,FALSE,1058,997,1,1362,2981,2020-09-10 06:36:16,FALSE,,,,"https://pbs.twimg.com/profile_banners/1303945323308613632/1612825026",,"http://pbs.twimg.com/profile_images/1358912766036348936/iLMsdzWW_normal.jpg"
