"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x1374722198103977985","x1378183475157606403",2021-04-03 03:12:00,"frank_pbjguy","Michael Jordan still has that hoop earring and there’s people in this world that wanna say Lebron not the goat","Twitter for iPhone",110,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/frank_pbjguy/status/1378183475157606403","frank white","","",,FALSE,1,48,0,12,36,2021-03-24 13:58:18,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1374830604492017666/Glamm05V_normal.jpg"
"x281880386","x1378177731448475648",2021-04-03 02:49:11,"mrkellybrand","Beyoncé vs. Michael Jackson disputes on who’s The GOAT will happen endlessly, like LeBron James vs. Michael Jordan. 

Both sides should probably know they’re not changing the other’s mind, and there is no universal undisputed GOAT.","Twitter for iPhone",231,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/mrkellybrand/status/1378177731448475648","Black Is King <U+265B> James","Dallas, TX","""Be about that action and go do it."" - Beyoncé",,FALSE,386,369,0,15694,49062,2011-04-14 04:35:08,FALSE,,,,"https://pbs.twimg.com/profile_banners/281880386/1606023633","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1365872228819165186/dVtjUQnd_normal.jpg"
"x1268672548545445888","x1378117068944461828",2021-04-02 22:48:08,"Jimmyrealdeal","@KingJames @MLB @morethanavote Michael Jordan is the goat <U+0001F410>","Twitter for Android",28,"x1378076057228566529","x23083404","KingJames",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x23083404 x18479513 x1273305944902873089","KingJames MLB morethanavote","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Jimmyrealdeal/status/1378117068944461828","Jimmy","","family man sport fan and believer of jesus krist",,FALSE,88,715,0,9599,6994,2020-06-04 22:35:07,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1337174804970008576/gXcLMiz0_normal.jpg"
"x224242380","x1378107716820946944",2021-04-02 22:10:58,"gohi_20","Basketball Club I Love - San Antonio Spurs
Basketball Club I Like - Oklahoma City Thunder
Basketball Club I dislike - Orlando Magic
Basketball player I love - Russell Westbrook
Basketball player I like - Klay Thompson
My GOAT - Tim Duncan
Actual GOAT - Michael Jordan https://t.co/n50IhnPKrp","Twitter for Android",267,,,,TRUE,FALSE,0,0,,,,,"twitter.com/Jones_Stats/st…","https://t.co/n50IhnPKrp","https://twitter.com/Jones_Stats/status/1378083876275417095",,,,,,,,,,,"en","x1378083876275417095","Basketball Club I love- LA Lakers
Basketball Club I like- Miami Heat
Basketball Clubs I dislike- LA Clippers 
Basketballer I love- GOAT JAMES 
Basketballer I like- Damian Lillard
GOAT- Lebron GOAT James <U+0001F410> https://t.co/E1m8mGN2sL",2021-04-02 20:36:14,"Twitter for Android",17,6,"x1323786757092069376","Jones_Stats","Jones<U+0001F3C0>",11014,600,6904,"Lagos, Nigeria","Lakers <U+0001F3C0>/ Chelsea/Nadal/
Players stats lover/ NBA freak/ I live Basketball",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/gohi_20/status/1378107716820946944","Gohi","Lagos, Nigeria","Mineral Resources Engineer. Football <U+2764> || NBA <U+2764> || Music <U+2764>",,FALSE,1320,1713,0,1973,9831,2010-12-08 14:21:55,FALSE,,,,"https://pbs.twimg.com/profile_banners/224242380/1566726916","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1162397361894842368/VKEqQG2B_normal.jpg"
"x1373355905249648649","x1378107121775083525",2021-04-02 22:08:36,"24Obj","@JuniorEbong GOAT-MICHAEL JORDAN","Twitter for Android",19,"x1378073605033095169","x405594223","JuniorEbong",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x405594223","JuniorEbong","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/24Obj/status/1378107121775083525","OBJ","Lagos, Nigeria","BallisLife <U+0001F3C0><U+0001F1F3><U+0001F1EC>",,FALSE,5,82,0,19,46,2021-03-20 19:29:29,FALSE,,,,"https://pbs.twimg.com/profile_banners/1373355905249648649/1616482051",,"http://pbs.twimg.com/profile_images/1374250331643768834/fgJVLt6E_normal.jpg"
"x1113257406140702721","x1378101676268212226",2021-04-02 21:46:58,"BobLo33","@KingJames @MLB @morethanavote This is why Michael Jordan is the GOAT!","Twitter for iPhone",39,"x1378076057228566529","x23083404","KingJames",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x23083404 x18479513 x1273305944902873089","KingJames MLB morethanavote","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/BobLo33/status/1378101676268212226","BobLo <U+0001F1FA><U+0001F1F8>","United States","Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go. Joshua 1:9",,FALSE,49,362,1,5033,14667,2019-04-03 01:50:23,FALSE,,,,"https://pbs.twimg.com/profile_banners/1113257406140702721/1563559949",,"http://pbs.twimg.com/profile_images/1358517461390401537/eMyi-IvY_normal.jpg"
"x1355676624486862852","x1378097912257904641",2021-04-02 21:32:00,"ph28690912","@benshapiro By the way Michael Jordan GOAT.","Twitter for iPhone",31,"x1378095865252999174","x17995040","benshapiro",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x17995040","benshapiro","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ph28690912/status/1378097912257904641","JLP","Georgia, USA","",,FALSE,0,12,0,96,25,2021-01-31 00:38:05,FALSE,,,,,,"http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"x782736299576791040","x1378092432424861704",2021-04-02 21:10:14,"leafsnation8888","@Maikelliosis @Harlequin236 @wesleyH982 @CEOofKobeFans @Obeykb824 @KGsGOAT again baseless claims <U+0001F602>

watch actual NBA games for me and you would never in your right mind call that LAZY NON TOP 100 DEFENDER EVEN CLOSE to the GOAT non big defender MICHAEL JEFFREY JORDAN (moncrief is debatable) 

@johnnybezgood","Twitter Web App",233,"x1378091526367150084","x1152863270048542720","Maikelliosis",FALSE,FALSE,2,0,,,,,,,,,,,,,,,,"x1152863270048542720 x1039224027343204352 x952897686507843586 x1024831027536162821 x1187533055004557312 x1361775184332603393 x2652984356","Maikelliosis Harlequin236 wesleyH982 CEOofKobeFans Obeykb824 KGsGOAT johnnybezgood","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/leafsnation8888/status/1378092432424861704","LEAFS NATION","","yo. Raptors, Raiders, Leafs, Jays, MUFC. MJ FAN. Facts over feelings.",,FALSE,532,644,1,4564,11512,2016-10-03 00:17:31,FALSE,,,,"https://pbs.twimg.com/profile_banners/782736299576791040/1615763821",,"http://pbs.twimg.com/profile_images/1373725293635104769/VILFRPzE_normal.jpg"
"x704767423614849024","x1378090153332371466",2021-04-02 21:01:10,"lakeshowjavi","@KOT4Q The GOAT and Michael Jordan<U+0001F410>","Twitter for iPhone",28,"x1378089893511970823","x3476387116","KOT4Q",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x3476387116","KOT4Q","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/lakeshowjavi/status/1378090153332371466","javi<U+0001F32A>","New Mexico, USA","@lakers • @giants • @dodgers •@KentuckyMBB #LongLiveJB",,FALSE,469,357,1,4649,58399,2016-03-01 20:37:02,FALSE,,,,"https://pbs.twimg.com/profile_banners/704767423614849024/1615792410","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1354545017260548097/V-FpoXFD_normal.jpg"
"x1280740218161807363","x1378089997602066432",2021-04-02 21:00:33,"JoladeMUFC","Basketball Club I love- Golden state warriors
Basketball Club I like- Boston Celtics
Basketball Club I dislike- LA LAKERS
Basketballer I love- STEPH CURRY 
Basketballer I like- James Harden
GOAT- Michael Jordan https://t.co/NjQZGxypnm","Twitter for Android",210,,,,TRUE,FALSE,12,6,,,,,"twitter.com/JuniorEbong/st…","https://t.co/NjQZGxypnm","https://twitter.com/JuniorEbong/status/1378073605033095169",,,,,,,,,,,"en","x1378073605033095169","Basketball Club I love- GSW
Basketball Club I like- LA LAKERS
Basketball Clubs I dislike- LA CLIPPERS and MINNESOTA TIMBERWOLVES 
Basketballer I love- STEPH CURRY 
Basketballer I like- K. Durant 
GOAT- LEBRON JAMES <U+0001F410> https://t.co/35iTNB33gd",2021-04-02 19:55:25,"Twitter for iPhone",18,4,"x405594223","JuniorEbong","<U+0001F13E><U+0001F13F><U+0001F143><U+0001F138><U+0001F13C><U+0001F144><U+0001F142><U+0001F31F><U+0001F133><U+0001F141><U+0001F130><U+0001F132><U+0001F144><U+0001F13B><U+0001F130> <U+0001F1F1><U+0001F1EE>",27993,4409,175763,"Heavenly Places <U+26C5>","I am Everything more | Parody | Visual Identity Designer/UI Designer | Basketball Punter | SEND YOUR BRIEFS <U+0001F4E9> optimusdigits@gmail.com #CFC #KnowYourPath",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JoladeMUFC/status/1378089997602066432","Jolz FC™","Swindon, England","2-5 winning odds daily| Heavy Stakes| #DubNation| #MUFC | Ads and promos: jolademufc@gmail.com 
telegram: https://t.co/FQbFyyOC8j | Partner: @TFl_conslog",,FALSE,8159,53,36,5107,2224,2020-07-08 05:47:32,FALSE,,,,"https://pbs.twimg.com/profile_banners/1280740218161807363/1594187814",,"http://pbs.twimg.com/profile_images/1377860411299598336/T4MYMO-f_normal.jpg"
